"Descripción del contrato","Entidad ","Contratista","Nomenclatura del proceso","Número del contrato","Objeto ","Moneda ","Monto ","Presupuesto ","CCP ","Previsión Presupuestal ","Fecha de suscripción del contrato","Fecha de inicio del contrato","Fecha fin del contrato","Estado"
"SERVICIO DE RENOVACIÓN DEL MANTENIMIENTO Y SOPORTE TÉCNICO DE LAS LICENCIAS DE SAP BUSINESS ONE","20100027705-EMPRESA DE ELECTRICIDAD DEL PERÚ S.A. - ELECTROPERU","20511649626-STRAT CONSULTING S.A.C.","AS-SM-37-2021-ELECTROPERU-3","2240001","SERVICIO","$","65500.26"," "," "," ","01/01/2022","01/01/2022","31/12/2024","Publicado"
"ADQUISICION DE EQUIPOS DE ILUMINACION LED HOMOLOGADOS PARA EL CENTRO DE PRODUCCION MANTARO 2021 ¿ 2022","20100027705-EMPRESA DE ELECTRICIDAD DEL PERÚ S.A. - ELECTROPERU","20503953839-SCHREDER PERU S.A.C.","AS-Homologacion-SM-39-2021-ELECTROPERU-2","2240003","BIEN","$","23010"," "," "," ","11/01/2022","12/01/2022","13/03/2022","Publicado"
"EJECUCIÓN DE OBRA: MEJORAMIENTO DE LAS ÁREAS DEGRADADAS ORIGINADAS POR LOS PASIVOS AMBIENTALES MINEROS (PAM ID 6876) DE LA EX UNIDAD MINERA LA PASTORA SEGUNDA ETAPA, DISTRITO Y PROVINCIA DE HUALGAYOC -CAJAMARCA","20103030791-EMPRESA ACTIVOS MINEROS SAC","20533615521-CONTRATISTAS MINERO LIBRA S.A.C.","LP-SM-2-2021-AMSAC-1","GL-C-005-2022","OBRA","S/","1623344.85"," "," "," ","24/01/2022","01/02/2022","30/06/2022","Publicado"
"SERVICIO DE MANTENIMIENTO Y REHABILITACIÓN DEL PAD DE ALMACENAMIENTO DE SACOS CON LODO DE LA CURVA DE AZALIA, GOYLLARISQUISGA, PASCO","20103030791-EMPRESA ACTIVOS MINEROS SAC","20573262043-CONSULTORA CONSTRUCTORA E INMOBILIARIA G & J SOCIEDAD ANONIMA CERRADA","CP-SM-14-2021-AMSAC-1","GL-C-002-2022","SERVICIO","S/","399939.77"," "," "," ","12/01/2022","01/02/2022","12/04/2022","Publicado"
"SUPERVISIÓN DE OBRA: MEJORAMIENTO DE LAS ÁREAS DEGRADADAS ORIGINADAS POR LOS PASIVOS AMBIENTALES MINEROS (PAM ID 6876) DE LA EX UNIDAD MINERA LA PASTORA SEGUNDA ETAPA, DISTRITO Y PROVINCIA DE HUALGAYOC - CAJAMARCA","20103030791-EMPRESA ACTIVOS MINEROS SAC","20602336876-CONSORCIO SUPERVISOR 100","CP-SM-15-2021-AMSAC-1","GL-C-004-2022","CONSULTORIA","S/","483834.15"," "," "," ","18/01/2022","01/02/2022","30/06/2022","Publicado"
"ELABORACIÓN DE EXPEDIENTE TÉCNICO PARA LA CONCLUSIÓN DEL SALDO DE OBRA MEJORAMIENTO DE LAS ÁREAS CONTAMINADAS EN ZONAS PÚBLICAS DE CHUCCHIS ALTO 2DA Y 1RA ZONA, MIRAFLORES Y VISTA ALEGRE DEL DISTRITO DE SANTA ROSA DE SACCO, DE MANUEL SCORZA Y VIOLETA CORREA DEL DISTRITO DE LA OROYA, PROVINCIA DE YA","20103030791-EMPRESA ACTIVOS MINEROS SAC","20571241723-EVALTO CONSULTORES Y CONSTRUCTORES S.R.L.","AS-SM-22-2021-AMSAC-1","GL-C-003-2022","CONSULTORIA","S/","60349.92"," "," "," ","12/01/2022","13/01/2022","13/03/2022","Publicado"
"SERVICIO DE REPARACIÓN DE INMUEBLE DE LA ADMINISTRACION POSTAL DE VILLA MARIA","20256136865-SERVICIOS POSTALES DEL PERU S.A.","20530688047-AVICAL E.I.R.L.","CP-SM-6-2021-SERPOST S.A.-1","CONTRATO N° 002-2022-SERPOST SA","SERVICIO","S/","399930.36"," "," "," ","26/01/2022","27/01/2022","31/03/2022","Publicado"
"SERVICIO DE SEGURO PERSONALES (VIDALEY-PRACTICANTES-SCTR PENSION Y SALUD)","20256136865-SERVICIOS POSTALES DEL PERU S.A.","20202380621-CONSORCIO MAPFRE PERU COMPAÑIA DE SEGUROS Y REASEGUROS S.A , MAPFRE PERU VIDA COMPAÑIA DE SEGUROS , MAPFRE PERU SA ENTIDAD PRESTADORA DE SALUD ","CP-SM-8-2021-SERPOST S.A.-1","CONTRATO N° 001-2022-SERPOST","SERVICIO","S/","1087890.93"," "," "," ","25/01/2022","15/02/2022","15/02/2024","Publicado"
"SERVICIO DE MANTENIMIENTO ELECTROMECANICO DE LOS GRUPOS TÉRMICOS DEL SER DATEM DEL MARAÑON","20425809882-EMPRESA DE ADMINISTRACION DE INFRAESTRUCTURA ELECTRICA S.A.","20522680525-OVADIA S.A.C.","AS-SM-26-2021-ADINELSA-3","CONTRATO 001-2022-ADINELSA","SERVICIO","S/","197550"," "," "," ","06/01/2022","07/01/2022","07/03/2022","Publicado"
"SERVICIO DE REUBICACIÓN DE TRAMO DE LINEA PRIMARIA DE 3¿ POR INCUMPLIMIENTO DE DMS, REUBICACIÓN DE SUBESTACIÓN, ADECUACIONES DE REDES SECUNDARIAS Y ACOMETIDAS DOMICILIARIAS EN LA LOCALIDAD DE LIPLE DEL SER SANTA LEONOR","20425809882-EMPRESA DE ADMINISTRACION DE INFRAESTRUCTURA ELECTRICA S.A.","20600659996-CASH INGENIERIA Y SERVICIOS GENERALES E.I.R.L.","AS-SM-1-2021-ADINELSA-3","CONTRATO 002-2022-ADINELSA","SERVICIO","S/","120005"," "," "," ","14/01/2022","15/01/2022","15/03/2022","Publicado"
"SUMINISTRO, TRANSPORTE Y MONTAJE DE EQUIPOS DE PROTECCIÓN Y MANIOBRA PARA LA MEJORA DE LA CONFIABILIDAD, CALIDAD Y SOSTENIBILIDAD DE 12 SISTEMAS ELÉCTRICOS RURALES ADMINISTRADOS POR ADINELSA","20425809882-EMPRESA DE ADMINISTRACION DE INFRAESTRUCTURA ELECTRICA S.A.","20392777190-IMG EQUIPAMIENTOS S.A.C.","AS-SM-41-2021-ADINELSA-2","CONTRATO 006-2022","BIEN","S/","5431945.38"," "," "," ","08/02/2022","09/02/2022","26/08/2022","Publicado"
" ADQUISICION DE MEDIDORES ELECTRÓNICOS MULTIFUNCIÓN TRIFÁSICO 4H PARA APLICACIÓN DE BALANCES EN SED","20425809882-EMPRESA DE ADMINISTRACION DE INFRAESTRUCTURA ELECTRICA S.A.","20600306091-TECH INDUSTRIAS GLOBALES S.R.L. - TECHINGLOB S.R.L.","AS-SM-39-2021-ADINELSA-1","ORDEN DE COMPRA 2020002","BIEN","S/","83930"," "," "," ","21/01/2022","22/01/2022","07/03/2022","Publicado"
"Servicio de Ejecución del Plan de Abandono del Aerogenerador C.E. Marcona-Resolución D.R. N° 027-2021-GORE-ICA/DREM","20425809882-EMPRESA DE ADMINISTRACION DE INFRAESTRUCTURA ELECTRICA S.A.","20601118522-JLA INGENIERIA Y CONSTRUCCION S.A.C.","CP-SM-12-2021-ADINELSA-1","contrato 003-2022-adinelsa","SERVICIO","S/","1459000"," "," "," ","03/02/2022","04/02/2022","06/05/2022","Publicado"
"SERVICIO DE CAMBIO DE ESTRUCTURA N 17 DE LA LÍNEA DE TRANSMISIÓN 66KV HUACHO NUEVA - ANDAHUASI","20425809882-EMPRESA DE ADMINISTRACION DE INFRAESTRUCTURA ELECTRICA S.A.","20600413997-CONSORCIO ELECTRICO ANDAHUASI","AS-SM-9-2020-ADINELSA-4","contrato 004-2022-adinelsa","SERVICIO","S/","132600"," "," "," ","03/02/2022","04/02/2022","05/04/2022","Publicado"
"SERVICIO DE SUBSANACION DE DEFICIENCIAS EN REDES DE MEDIA Y BAJA TENSION EN EL SISTEMA ELECTRICO RURAL CHARAPE POR INCUMPLIMIENTO DE NORMAS TECNICAS EN EL MARCO DEL PROCEDIMIENTO N°228-2009-OS/CD","20425809882-EMPRESA DE ADMINISTRACION DE INFRAESTRUCTURA ELECTRICA S.A.","20606627697-CONSORCIO CHARAPE","AS-SM-16-2021-ADINELSA-4","contrato 5-2022-adinelsa","SERVICIO","S/","399781.32"," "," "," ","04/02/2022","05/02/2022","05/05/2022","Publicado"
"Contratación a Todo Costo de Prestaciones de Salud de atención de Insuficiencia Respiratorias Agudas Graves (IRAG) con ventilación mecánica en la UPSS cuidados intensivos, para asegurados con diagnóstico de COVID-19, en IPRESS privadas según marco normativo del decreto legislativo N° 1466.","20131257750-SEGURO SOCIAL DE SALUD","20100054184-CLINICA INTERNACIONAL S A","DIRECTA-PROC-126-2020-ESSALUD/GCL-1","4600054568","SERVICIO","S/","656391"," "," "," ","02/02/2022","02/02/2022","11/02/2022","Publicado"
" CONTRATACION DEL SERVICIO DE INSTALACION A TODO COSTO DE LA RED DE OXIGENO MEDICINAL PARA LA ZONA R DEL HOSPITAL NACIONAL RAMIRO PRIALE PRIALE DE LA RED ASISTENCIAL JUNIN-ESSALUD","20131257750-SEGURO SOCIAL DE SALUD","20110326999-CONSORCIO DISTRIBUIDOR DE BIENES Y SERVICIOS C.B.S. S.R.L.","AS-SM-14-2021-/ESSALUD-RASJUN-1","4503867567","SERVICIO","S/","80216.4"," "," "," ","17/01/2022","18/01/2022","01/02/2022","Publicado"
"EJECUCIÓN DE OBRA: CREACIÓN DE LOS SERVICIOS DE SALUD DEL HOSPITAL ESPECIALIZADO EN LA RED ASISTENCIAL CAJAMARCA ESSALUD, DISTRITO DE CAJAMARCA, PROVINCIA CAJAMARCA, DEPARTAMENTO CAJAMARCA, DEL COMPONENTE N 1 PRESUPUESTO DE OBRAS CIVILES, EQUIPAMIENTO OFIMÁTICO, SISTEMA DE MEDIA TENSIÓN Y MONITOREO","20131257750-SEGURO SOCIAL DE SALUD","20602979173-SINOHYDRO CORPORATION LIMITED, SUCURSAL DEL PERU","LP-SM-11-2021-ESSALUD/GCL-1","4600056104","OBRA","S/","366362860.2"," "," "," ","13/01/2022","14/01/2022","10/01/2025","Publicado"
" ADQUISICIÓN DE PRODUCTOS FARMACÉUTICOS - COMPRA CORPORATIVA SECTORIAL PARA EL ABASTECIMIENTO 2021 - 2022 (263 ÍTEMS)","20131257750-SEGURO SOCIAL DE SALUD","20300795821-PERULAB SA","SIE-SIE-24-2021-CENARES/MINSA-1","4600056241","BIEN","S/","564800"," "," "," ","19/01/2022","20/01/2022","28/02/2023","Publicado"
"SERVICIO DE LAVADO Y PLANCHADO DE ROPA HOSPITALARIA DE LA RED ASISTENCIAL ANCASH, POR EL PERIODO DE 24 MESES","20131257750-SEGURO SOCIAL DE SALUD","20437418293-SERVIPROF SRL.","CP-SM-4-2021-ESSALUD/RAAN-1","01-GRAAN-ESSALUD-2022","SERVICIO","S/","783216"," "," "," ","04/01/2022","16/01/2022","15/01/2024","Publicado"
"Contratación del Suministro de Productos Farmacéuticos para los Establecimientos de Salud de las Redes Asistenciales de EsSalud, por un periodo de doce (12) meses - 23 ítems - ITEM 12","20131257750-SEGURO SOCIAL DE SALUD","20171586608-DISTRIBUIDORA DROGUERIA SAGITARIO S.R.L.","SIE-SIE-6-2021-ESSALUD/CEABE-1","4600056317","BIEN","S/","569000"," "," "," ","02/02/2022","03/02/2022","31/03/2023","Publicado"
"Contratación del Suministro de Productos Farmacéuticos para los Establecimientos de Salud de las Redes Asistenciales de EsSalud, por un periodo de doce (12) meses - 23 ítems - item 9","20131257750-SEGURO SOCIAL DE SALUD","20606117869-AD PHARMACEUTICAL E.I.R.L.","SIE-SIE-6-2021-ESSALUD/CEABE-1","4600056318","BIEN","S/","313160"," "," "," ","02/02/2022","03/02/2022","31/03/2023","Publicado"
"CONTRATACIÓN DE OPERADOR LOGÍSTICO PARA EL SERVICIO DE TRANSPORTE DE CARGA A NIVEL NACIONAL PARA EL ALMACÉN CENTRAL DE LA RED ASISTENCIAL LORETO - PERIODO 12 MESES","20131257750-SEGURO SOCIAL DE SALUD","20493233361-CONSORCIO OPTIMUS SRL","CP-SM-5-2021-ESSALUD/RALO-1","002-GRALO-ESSALUD-2022","SERVICIO","S/","600711.5"," "," "," ","26/01/2022","27/01/2022","26/01/2023","Publicado"
"Adquisición de pruebas de detección de antigeno del virus SARS-COV-2 (COVID-19)","20131257750-SEGURO SOCIAL DE SALUD","20110200201-QUIMTIA S.A.","LP-SM-1-2021-ESSALUD/RAPI-1","01-OA-RAPI-ESSALUD-2021","BIEN","S/","322500"," "," "," ","05/01/2022","06/01/2022","08/07/2022","Publicado"
"ADQUISICION DE INSUMOS DE MICROBIOLOGIA PARA EL SERVICIO DE PATOLOGIA CLINICA Y BANCO DE SANGRE DEL HOSPITAL NACIONAL ADOLFO GUEVARA VELASCO DE LA RED ASISTENCIAL CUSCO","20131257750-SEGURO SOCIAL DE SALUD","20501887286-DIAGNOSTICA PERUANA S.A.C.","LP-SM-6-2021-ESSALUD/GRACU-1","Contratos N° 02 Y 04 - GRACU-ESSALUD-2022","BIEN","S/","2127576"," "," "," ","24/01/2022","07/02/2022","06/02/2025","Publicado"
"CONTRATACION DE SERVICIOS DE MODULOS DE ATENCION AL ASEGURADO DE LOS CENTROS ASISTENCIALES DE LA RED ASISTENCIAL MOYOBAMBA","20131257750-SEGURO SOCIAL DE SALUD","20532593248-DESARROLLA PERU SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA","AS-SM-6-2021-ESSALUD/RAMOY-1","01-RAMOY-ESSALUD-2022","SERVICIO","S/","296777.76"," "," "," ","06/01/2022","10/01/2022","09/01/2023","Publicado"
"ADQUISICION DE REACTIVO (KIT COMPLETO DE GASES ELECTROLITOS Y METABOLITOS SANGUINEOS ARTERIALES) PARA LAS IPRESS DE LA RED ASISTENCIAL DE JUNIN PARA DOCE MESES","20131257750-SEGURO SOCIAL DE SALUD","20552895496-INGENIERIA DE DIAGNOSTICO CLINICO SOCIEDAD ANONIMA CERRADA","AS-SM-23-2021-/ESSALUD-RASJUN-1","01-2022","BIEN","S/","364000"," "," "," ","06/01/2022","17/01/2022","31/01/2023","Publicado"
"ADQUISICION DE REACTIVOS DE HEMATOLOGIA PARA EL SERVICIO DE PATOLOGIA CLINICA DEL HOSPITAL NACIONAL RAMIRO PRIALE PRIALE DE LA RED ASISTENCIAL JUNIN POR EL PERIODO DE DOCE MESES","20131257750-SEGURO SOCIAL DE SALUD","20537139120-DELTALAB PERU E.I.R.L.","AS-SM-25-2021-/ESSALUD-RASJUN-1","4","BIEN","S/","147820"," "," "," ","18/01/2022","19/01/2022","30/11/2022","Publicado"
"Contratación del Suministro de Productos Farmacéuticos para los Establecimientos de Salud de las Redes Asistenciales de EsSalud, por un periodo de doce 12 meses - 50 ítems - 02 ítems Desiertos de la Subasta Inversa Electrónica No 07-2020-ESSALUD-CEABE-1 2098V00071/item1","20131257750-SEGURO SOCIAL DE SALUD","20135699081-DISTRIBUIDORA DANY S.A.C.","SIE-SIE-7-2020-ESSALUD/CEABE-2","4600056238","BIEN","S/","2071928.3"," "," "," ","24/01/2022","23/02/2022","23/02/2023","Publicado"
"Contratación del Suministro de Productos Farmacéuticos para los Establecimientos de Salud de las Redes Asistenciales de EsSalud, por un periodo de doce 12 meses - 50 ítems - 02 ítems Desiertos de la Subasta Inversa Electrónica No 07-2020-ESSALUD-CEABE-1 2098V00071/item2","20131257750-SEGURO SOCIAL DE SALUD","20171586608-DISTRIBUIDORA DROGUERIA SAGITARIO S.R.L.","SIE-SIE-7-2020-ESSALUD/CEABE-2","4600056234","BIEN","S/","3715000"," "," "," ","21/01/2022","20/02/2022","20/02/2023","Publicado"
"CONTRATACION DE UNA COMPAÑÍA DE SEGUROS AUTORIZADA QUE OTORGUE LA PRESTACION DE LOS SERVICIOS DE LA COBERTURA DE LA PÓLIZA DEL SEGURO VIDA LEY-D.LEG. 688 PARA LOS TRABAJADORES DEL REGIMEN LABORAL N 728","20131257750-SEGURO SOCIAL DE SALUD","20332970411-PACIFICO COMPAÑIA DE SEGUROS Y REASEGUROS","CP-SM-16-2021-ESSALUD/GCL-1","4600056237","SERVICIO","S/.","17438954.8"," "," "," ","17/01/2022","17/01/2022","16/01/2025","Publicado"
"EJECUCIÓN DE LA OBRA COMPONENTE 3 AMPLIACIÓN DE POTENCIA DEL SISTEMA DE UTILIZACIÓN A TENSIÓN PRIMARIA DE 10 22.9 KV DE LAS INSTALACIONES DEL HOSPITAL III IQUITOS RED LORETO DE ESSALUD DEL EXPEDIENTE TÉCNICO A NIVEL DE EJECUCIÓN DE OBRA MEJORAMIENTO Y AMPLIACIÓN DE LAS SALAS DE OBSERVACIÓN DEL SERVICIO DE EMERGENCIA DEL HOSPITAL III IQUITOS DE LA RED ASISTENCIAL LORETO","20131257750-SEGURO SOCIAL DE SALUD","20489466741-CONSORCIO H&M ASOCIADOS","AS-SM-36-2021-ESSALUD/GCL-1","4600056196","OBRA","S/","1075397.76"," "," "," ","06/01/2022","06/01/2022","07/05/2022","Publicado"
" ADQUISICIÓN DE PRODUCTOS FARMACÉUTICOS - COMPRA CORPORATIVA SECTORIAL PARA EL ABASTECIMIENTO 2021-2022 (10 ÍTEMS) item 5","20131257750-SEGURO SOCIAL DE SALUD","20100287791-INSTITUTO QUIMIOTERAPICO S A","SIE-SIE-34-2021-CENARES/MINSA-1","4600056195","BIEN","S/","4548514.96"," "," "," ","05/01/2022","05/03/2022","04/03/2023","Publicado"
"ADQUISICIÓN DE PRODUCTOS FARMACÉUTICOS - COMPRA CORPORATIVA SECTORIAL PARA EL ABASTECIMIENTO 2021-2022 (10 ÍTEMS)- item 1","20131257750-SEGURO SOCIAL DE SALUD","20606959541-DROGUERIA G & A S.A.C.","SIE-SIE-34-2021-CENARES/MINSA-1","4600056111","BIEN","S/","1083360"," "," "," ","05/01/2022","05/03/2022","04/03/2023","Publicado"
"SERVICIO DE ATENCIÓN, ORIENTACIÓN, RECEPCIÓN Y GESTIÓN DEL PROCESO DE ADMISIÓN Y PROGRAMACIÓN DE LA CONSULTA EXTERNA EN LAS ACTIVIDADES DE TELECONSULTA, TELEORIENTACIÓN Y TELEMONITOREO EN LOS MÓDULOS DE ATENCIÓN AL ASEGURADO DE LA RED ASISTENCIAL CUSCO","20131257750-SEGURO SOCIAL DE SALUD","20603902051-JC GLOBAL SERVICIOS MULTIPLES S.R.L.","CP-SM-10-2021-ESSALUD/GRACU-1","Contrato N° 01-GRACU-ESSALUD-2022","SERVICIO","S/","2985919.2"," "," "," ","04/01/2022","13/03/2022","12/03/2025","Publicado"
"LICITACION PUBLICA N°17-2021-ESSALUD-RPR-1 ""ADQUISICION DE REACTIVOS DE LABORATORIO PARA MICROBIOLOGIA - HEMOCULTIVOS - HNERM","20131257750-SEGURO SOCIAL DE SALUD","20376181015-BECTON DICKINSON DEL URUGUAY SA SUC PERU","LP-SM-17-2021-ESSALUD-RPR-1","CONTRATO N°002-2022-GRPR-ESSALUD","BIEN","S/","1425872"," "," "," ","13/01/2022","14/01/2022","13/01/2023","Publicado"
"CONTRATACIÓN DEL SUMINISTRO DE MATERIALES, REACTIVOS E INSUMOS DE LABORATORIO BIOQUÍMICA PARA LOS ESTABLECIMIENTOS DE SALUD DE ESSALUD, POR UN PERIODO DE DOCE (12) MESES derivada de la Licitación Publica N° 03-2021-ESSALUD/CEABE-1","20131257750-SEGURO SOCIAL DE SALUD","20505328281-VIRALAB SOCIEDAD ANONIMA","AS-SM-9-2021-ESSALUD/CEABE-1","4600056327","BIEN","S/","1528071.5"," "," "," ","03/02/2022","04/02/2022","31/03/2023","Publicado"
"suministro de materiales reactivos","20131257750-SEGURO SOCIAL DE SALUD","20505328281-VIRALAB SOCIEDAD ANONIMA","AS-SM-9-2021-ESSALUD/CEABE-1","460056300","BIEN","S/","66093.75"," "," "," ","28/01/2022","29/01/2022","29/01/2023","Publicado"
"EJECUCIÓN DE LA OBRA: INSTALACIÓN DE PLANTA DE TRATAMIENTO DE RESIDUOS SOLIDOS HOSPITALARIOS EN EL HOSPITAL I VICTOR LAZO PERALTA DE LA RED ASISTENCIAL DE TAMBOPATA, DISTRITO DE TAMBOPATA, DEPARTAMENTO DE MADRE DE DIOS","20131257750-SEGURO SOCIAL DE SALUD","20153302104-CONSORCIO EDIFICA","LP-SM-2-2021-ESSALUD/GCL-1","4600056236","OBRA","S/","1761298.96"," "," "," ","21/01/2022","22/01/2022","25/04/2022","Publicado"
"CONTRATACIÓN DE SERVICIO DE ALIMENTACION Y NUTRICION PARA EL HOSPITAL II HUANUCO POR EL PERIODO DE 12 MESES - RED ASISTENCIAL HUANUCO","20131257750-SEGURO SOCIAL DE SALUD","20568869231-CONSORCIO VEPROSER S.A.C. Y REPRESENTACIONES GENERALES SHALOM E.I.R.L.","CP-SM-6-2021-ESSALUD/HCO-1","CONTRATO DE SERVICIOS N°01-D-RAHU-ESSALUD-2022","SERVICIO","S/","1058400"," "," "," ","07/01/2022","09/01/2022","08/01/2023","Publicado"
"ADQUISICION DE EQUIPAMIENTO PARA EL HOSPITAL DE CONTINGENCIA MODULAR: JAUJA -ESSALUD - 56 CAMAS RED ASISTENCIAL JUNIN Y CANTA CALLAO -ESSALUD-112 CAMAS - RED PRESTACIONAL SABOGAL - ITEM 7","20131257750-SEGURO SOCIAL DE SALUD","20538597121-DRAEGER  PERU   S.A.C.","DIRECTA-PROC-310-2021-ESSALUD/CEABE-1","4600056186","BIEN","S/","153000"," "," "," ","10/01/2022","11/01/2022","11/01/2024","Publicado"
"ADQUISICION DE EQUIPAMIENTO PARA EL HOSPITAL DE CONTINGENCIA MODULAR: JAUJA -ESSALUD - 56 CAMAS RED ASISTENCIAL JUNIN Y CANTA CALLAO -ESSALUD-112 CAMAS - RED PRESTACIONAL SABOGAL - ITEM 2 Y 5","20131257750-SEGURO SOCIAL DE SALUD","20501701956-METAX INDUSTRIA Y COMERCIO S.A.C.","DIRECTA-PROC-310-2021-ESSALUD/CEABE-1","4600056180","BIEN","S/","1278900"," "," "," ","10/01/2022","11/01/2022","11/01/2024","Publicado"
"ADQUISICION DE EQUIPAMIENTO PARA EL HOSPITAL DE CONTINGENCIA MODULAR: JAUJA -ESSALUD - 56 CAMAS RED ASISTENCIAL JUNIN Y CANTA CALLAO -ESSALUD-112 CAMAS - RED PRESTACIONAL SABOGAL-ITEM 3","20131257750-SEGURO SOCIAL DE SALUD","20604125490-MEDICA INNOVADORA S.A.C.","DIRECTA-PROC-310-2021-ESSALUD/CEABE-1","4600056182","BIEN","S/","430000"," "," "," ","10/01/2022","11/01/2022","29/02/2024","Publicado"
"ADQUISICION DE EQUIPAMIENTO PARA EL HOSPITAL DE CONTINGENCIA MODULAR: JAUJA -ESSALUD - 56 CAMAS RED ASISTENCIAL JUNIN Y CANTA CALLAO -ESSALUD-112 CAMAS - RED PRESTACIONAL SABOGAL - ITEM 1","20131257750-SEGURO SOCIAL DE SALUD","20513441208-LABORATORIOS OFTALMICOS S.A.C.","DIRECTA-PROC-310-2021-ESSALUD/CEABE-1","4600056179","BIEN","S/","81126"," "," "," ","10/01/2022","11/01/2022","11/01/2024","Publicado"
"ADQUISICION DE EQUIPAMIENTO PARA EL HOSPITAL DE CONTINGENCIA MODULAR: JAUJA -ESSALUD - 56 CAMAS RED ASISTENCIAL JUNIN Y CANTA CALLAO -ESSALUD-112 CAMAS - RED PRESTACIONAL SABOGAL - ITEM 4","20131257750-SEGURO SOCIAL DE SALUD","20100262291-COMERC. E IND DENT TARRILLO BARBA S.A.C","DIRECTA-PROC-310-2021-ESSALUD/CEABE-1","4600056183","BIEN","S/","127500"," "," "," ","10/01/2022","11/01/2022","28/02/2022","Publicado"
" CONTRATACIÓN DEL SERVICIO PARA LA BÚSQUEDA DE EVIDENCIA PARA LA ELABORACIÓN DE UNA GUÍA PRACTICA CLÍNICA GINECOLÓGICA","20131257750-SEGURO SOCIAL DE SALUD","10726292804-NIETO GUTIERREZ WENDY CAROLINA","AS-SM-45-2021-ESSALUD/GCL-1","4600056203","SERVICIO","S/","84000"," "," "," ","07/01/2022","08/01/2022","07/01/2023","Publicado"
" CONTRATACION DEL SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVP DEL SERVICIO DE CONSULTORES EXTERNOS DEL HOSPITAL I RIO NEGRO DE LA RED ASISTENCIAL DE JUNIN","20131257750-SEGURO SOCIAL DE SALUD","10461355477-SOTO QUILCA PEDRO","AS-SM-32-2021-/ESSALUD-RASJUN-1","01-2022","SERVICIO","S/","145000"," "," "," ","04/01/2022","05/01/2022","28/02/2022","Publicado"
"CONTRATACION DEL SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO (SIN RESIDENCIA) A TODO COSTO DEL TOMOGRAFO DE 64 CORTES DEL HOSPITAL II ALBERTO HURTADO ABADIA-LA OROYA DE LA RED ASISTENCIAL JUNIN POR EL PERIODO DE UN AÑO","20131257750-SEGURO SOCIAL DE SALUD","20100102090-PHILIPS PERUANA S A","CP-SM-6-2021-/ESSALUD-RASJUN-1","05-2022","SERVICIO","S/","512120"," "," "," ","21/01/2022","22/01/2022","31/01/2023","Publicado"
"COMPRA DE COMBUSTIBLES PARA LA FLOTA VEHICULAR  POR UN AÑO DE LA RED ASISTENCIAL CAJAMARCA","20131257750-SEGURO SOCIAL DE SALUD","20453498299-GRIFOS CAJAMARCA S.A.C.","SIE-SIE-4-2021-ESSALUD/RACAJ-1","001-DM-ESSALUD-RACAJ-2022","BIEN","S/","222708"," "," "," ","03/01/2022","03/01/2022","03/01/2023","Publicado"
"SERVICIO DE ALIMENTACION DE LA RED ASISTENCIAL ANCASH, POR EL PERIODO DE 12 MESES","20131257750-SEGURO SOCIAL DE SALUD","10198513321-PALOMINO MARQUEZ BRUNO RODOLFO","CP-SM-8-2021-ESSALUD/RAAN-1","CONTRATO 7-GRAAN-ESSALUD-2022","SERVICIO","S/","2681126"," "," "," ","26/01/2022","01/02/2022","31/01/2023","Publicado"
"SERVICIO DE SOPORTE A LA OPERACIÓN DE LOS MÓDULOS SAP HCM PARA LA GERENCIA CENTRAL DE GESTIÓN DE LAS PERSONAS DE ESSALUD","20131257750-SEGURO SOCIAL DE SALUD","20556703231-EPI-USE PERU S.A.C.","AS-SM-52-2021-ESSALUD/GCL..-1","4600056246","SERVICIO","S/","666400"," "," "," ","24/01/2022","25/01/2022","20/01/2023","Publicado"
"CONTRATACION DEL SERVICIO DE OPERACIÓN Y MANTENIMIENTO DE EQUIPOS E INSTALACIÓN ELECTROMECANICAS, EQUIPOS BIOMÉDICOS Y PLANTA DE TRATAMIENTO DE AGUA PURIFICADA DEL SERVICIO DE UNIDAD RENAL DEL HOSPITAL III CHIMBOTE DE LA RAAN","20131257750-SEGURO SOCIAL DE SALUD","20531796731-S.M.B. TECHNOLOGY S.R.L.","AS-SM-24-2021-ESSALUD/RAAN-1","3-GRAAN-ESSALUD-2022","SERVICIO","S/","313800"," "," "," ","14/01/2022","01/02/2022","31/01/2023","Publicado"
"SERVICIO DE TRANSPORTE TERESTRE DE PACIENTES ASEGURADOS Y ACOMPAÑANTES AYACUCHO LIMA AYACUCHO","20131257750-SEGURO SOCIAL DE SALUD","20555901179-MOVIL BUS S.A.C","AS-SM-10-2021-ESSALUD/RAAY-2","02-2022","SERVICIO","S/","420000"," "," "," ","06/01/2022","07/01/2022","06/01/2023","Publicado"
"CONTRATACION DE BIENES: ADQUISICION DE MATERIAL E INSUMOS DE LABORATORIO (REACTIVOS DE HEMATOLOGIA) CON EQUIPO EN CESION EN USO PARA LA RED ASISTENCIAL MOYOBAMBA","20131257750-SEGURO SOCIAL DE SALUD","20537139120-DELTALAB PERU E.I.R.L.","AS-SM-8-2021-ESSALUD/RAMOY-1","04-RAMOY-2022","BIEN","S/","59136"," "," "," ","18/01/2022","20/01/2022","19/01/2023","Publicado"
